Frame,PSNR_Gaussian,PSNR_Median,MSE_Gaussian,MSE_Median
0000,29.87,29.71,66.95,69.56
0001,31.92,31.08,41.83,50.73
0002,32.16,31.23,39.53,48.93
0003,32.34,31.36,37.97,47.54
0004,34.43,33.02,23.46,32.47
0005,33.09,32.07,31.89,40.39
0006,33.54,32.35,28.75,37.88
0007,33.62,32.5,28.25,36.57
0008,32.46,31.57,36.9,45.3
0009,32.99,31.92,32.67,41.8
0010,32.42,31.51,37.24,45.94
0011,32.75,31.69,34.53,44.05
0012,32.12,31.27,39.91,48.55
0013,32.58,31.54,35.94,45.57
0014,32.86,31.84,33.69,42.56
0015,32.16,31.31,39.5,48.09
0016,33.08,32.09,31.99,40.22
0017,32.68,31.72,35.12,43.78
0018,33.21,32.17,31.04,39.48
0019,32.66,31.73,35.21,43.63
0020,34.03,32.8,25.73,34.09
0021,32.49,31.68,36.68,44.19
0022,35.81,34.24,17.08,24.47
0023,32.4,31.63,37.4,44.7
0024,33.75,32.58,27.39,35.88
0025,32.02,31.36,40.8,47.59
0026,32.65,31.82,35.32,42.81
0027,32.93,32.12,33.13,39.91
0028,32.22,31.48,39.0,46.25
0029,34.25,33.27,24.44,30.62
